row_index,os_cislo,error_types
0,641,ok
1,644,ok
2,697,ok
3,525,eur
4,537,ok
5,699,ok
6,832,mzda_off
7,541,ok
8,328,ok
9,70,ok
10,289,ok
11,498,oddeleni_wrong
12,827,arithmetic
13,252,ok
14,846,ok
15,556,ok
16,654,ok
17,503,ok
18,444,ok
19,102,ok
20,940,ok
21,720,ok
22,216,ok
23,476,ok
24,606,mzda_off
25,535,ok
26,819,ok
27,536,ok
28,913,mzda_off
29,901,ok
30,475,ok
31,954,ok
32,97,ok
33,607,ok
34,924,ok
35,77,oddeleni_en
36,716,ok
37,212,ok
38,264,ok
39,159,mzda_off
40,507,ok
41,360,ok
42,338,ok
43,247,ok
44,332,ok
45,300,ok
46,835,mzda_off
47,594,ok
48,586,ok
49,893,oddeleni_en
50,854,ok
51,295,ok
52,59,ok
53,639,mzda_off
54,604,ok
55,337,ok
56,717,ok
57,54,ok
58,23,ok
59,30,mzda_off
60,355,ok
61,440,ok
62,10,ok
63,668,ok
64,976,mzda_off
65,708,ok
66,456,ok
67,202,ok
68,996,ok
69,394,ok
70,108,arithmetic
71,221,ok
72,431,ok
73,177,ok
74,914,ok
75,532,ok
76,744,ok
77,948,ok
78,39,ok
79,563,ok
80,472,ok
81,591,ok
82,66,ok
83,632,ok
84,67,ok
85,318,ok
86,528,ok
87,448,ok
88,302,ok
89,259,ok
90,336,arithmetic
91,833,ok
92,568,ok
93,508,mzda_off
94,936,ok
95,790,ok
96,187,ok
97,339,ok
98,89,ok
99,63,ok
100,848,ok
101,824,ok
102,218,ok
103,881,ok
104,262,mzda_off
105,370,ok
106,600,ok
107,905,ok
108,985,ok
109,278,ok
110,757,ok
111,404,ok
112,709,ok
113,1011,ok
114,689,ok
115,87,ok
116,915,ok
117,962,ok
118,316,ok
119,548,ok
120,137,ok
121,889,ok
122,663,ok
123,843,ok
124,486,ok
125,842,ok
126,170,ok
127,411,ok
128,458,ok
129,140,ok
130,977,ok
131,678,ok
132,871,ok
133,966,ok
134,996,ok
135,543,ok
136,55,ok
137,121,ok
138,540,ok
139,25,ok
140,72,ok
141,44,ok
142,280,arithmetic
143,673,ok
144,388,ok
145,303,ok
146,858,ok
147,201,ok
148,250,ok
149,362,ok
150,734,ok
151,661,ok
152,622,ok
153,556,ok
154,859,ok
155,965,ok
156,793,ok
157,762,ok
158,494,ok
159,60,ok
160,501,ok
161,485,ok
162,612,oddeleni_wrong
163,457,ok
164,412,ok
165,908,ok
166,609,ok
167,554,ok
168,367,ok
169,311,ok
170,386,ok
171,238,ok
172,527,ok
173,580,ok
174,111,arithmetic
175,680,ok
176,903,ok
177,347,ok
178,523,ok
179,930,ok
180,240,mzda_off
181,415,ok
182,538,ok
183,642,ok
184,388,ok
185,613,ok
186,763,arithmetic
187,138,ok
188,364,ok
189,375,ok
190,400,arithmetic
191,770,ok
192,552,ok
193,987,ok
194,505,ok
195,257,ok
196,211,ok
197,1000,ok
198,649,ok
199,213,ok
200,357,ok
201,79,ok
202,29,ok
203,706,ok
204,268,ok
205,323,mzda_off
206,660,ok
207,798,ok
208,167,ok
209,973,ok
210,509,ok
211,974,ok
212,65,ok
213,142,ok
214,326,ok
215,849,ok
216,428,ok
217,959,mzda_off
218,753,ok
219,539,ok
220,667,ok
221,224,ok
222,263,mzda_off
223,313,ok
224,447,ok
225,310,ok
226,49,ok
227,746,ok
228,2,arithmetic
229,558,ok
230,820,ok
231,926,ok
232,550,ok
233,631,ok
234,499,ok
235,557,ok
236,592,ok
237,33,ok
238,31,ok
239,234,ok
240,768,ok
241,195,oddeleni_en
242,677,ok
243,3,ok
244,207,ok
245,333,ok
246,590,ok
247,314,arithmetic
248,110,ok
249,292,ok
250,78,ok
251,85,ok
252,293,mzda_off
253,83,ok
254,284,ok
255,356,ok
256,941,ok
257,696,ok
258,601,ok
259,1004,ok
260,847,ok
261,283,ok
262,5,ok
263,796,mzda_off
264,933,mzda_off
265,98,ok
266,921,ok
267,366,ok
268,890,ok
269,269,ok
270,432,ok
271,493,ok
272,309,ok
273,774,mzda_off
274,522,ok
275,119,ok
276,377,ok
277,253,ok
278,349,ok
279,9,ok
280,199,ok
281,715,ok
282,82,arithmetic
283,387,ok
284,490,ok
285,637,arithmetic
286,242,ok
287,297,ok
288,214,ok
289,863,mzda_off
290,368,ok
291,949,ok
292,230,ok
293,878,ok
294,894,ok
295,999,ok
296,515,ok
297,837,ok
298,438,ok
299,690,ok
300,324,ok
301,787,ok
302,7,ok
303,156,ok
304,646,ok
305,453,ok
306,724,ok
307,929,ok
308,799,ok
309,769,ok
310,441,ok
311,593,ok
312,958,ok
313,582,ok
314,687,ok
315,544,ok
316,598,ok
317,727,ok
318,461,ok
319,664,ok
320,231,ok
321,982,ok
322,748,ok
323,215,arithmetic
324,80,ok
325,149,ok
326,306,arithmetic
327,728,ok
328,938,ok
329,560,ok
330,351,mzda_off;arithmetic
331,1001,ok
332,418,ok
333,134,mzda_off
334,816,ok
335,315,ok
336,624,ok
337,553,ok
338,0,ok
339,320,ok
340,726,ok
341,561,ok
342,814,ok
343,603,ok
344,491,ok
345,383,ok
346,175,ok
347,126,ok
348,595,ok
349,433,ok
350,566,ok
351,925,mzda_off
352,91,arithmetic
353,963,ok
354,184,ok
355,277,ok
356,917,mzda_off
357,69,ok
358,294,ok
359,132,ok
360,304,ok
361,437,ok
362,331,ok
363,145,ok
364,436,ok
365,597,ok
366,892,oddeleni_en
367,136,ok
368,473,ok
369,166,ok
370,28,ok
371,577,ok
372,196,ok
373,1012,ok
374,655,ok
375,171,ok
376,502,ok
377,141,ok
378,176,ok
379,6,ok
380,794,ok
381,838,ok
382,73,ok
383,845,ok
384,733,ok
385,241,ok
386,146,ok
387,813,ok
388,237,ok
389,223,ok
390,489,ok
391,514,ok
392,133,ok
393,882,ok
394,751,ok
395,188,ok
396,41,ok
397,628,ok
398,109,mzda_off
399,605,ok
400,56,ok
401,980,ok
402,455,arithmetic
403,578,ok
404,882,arithmetic
405,24,ok
406,430,ok
407,459,ok
408,545,ok
409,636,ok
410,916,ok
411,950,ok
412,343,ok
413,51,ok
414,389,ok
415,895,ok
416,944,ok
417,666,ok
418,267,ok
419,551,ok
420,730,ok
421,701,ok
422,947,ok
423,531,ok
424,542,mzda_off
425,18,ok
426,735,ok
427,611,ok
428,821,ok
429,749,ok
430,372,ok
431,84,ok
432,61,ok
433,450,ok
434,275,ok
435,288,ok
436,365,ok
437,359,ok
438,470,ok
439,281,ok
440,12,mzda_off
441,185,ok
442,373,ok
443,974,ok
444,633,ok
445,226,ok
446,588,ok
447,718,ok
448,681,ok
449,725,ok
450,599,ok
451,626,ok
452,179,ok
453,692,arithmetic
454,645,mzda_off
455,887,ok
456,464,ok
457,534,mzda_off
458,399,ok
459,164,ok
460,251,ok
461,766,ok
462,907,ok
463,337,ok
464,381,mzda_off
465,420,ok
466,74,ok
467,114,ok
468,585,ok
469,627,ok
470,396,ok
471,105,mzda_off
472,115,ok
473,425,ok
474,487,ok
475,465,ok
476,416,ok
477,93,ok
478,946,ok
479,90,ok
480,341,ok
481,1014,ok
482,945,ok
483,957,ok
484,772,ok
485,960,ok
486,629,ok
487,95,ok
488,11,mzda_off
489,402,ok
490,547,ok
491,43,ok
492,42,ok
493,334,ok
494,169,ok
495,671,ok
496,898,ok
497,614,ok
498,777,ok
499,101,ok
500,434,ok
501,181,ok
502,452,arithmetic
503,424,ok
504,932,ok
505,904,ok
506,676,ok
507,180,ok
508,401,ok
509,755,mzda_off
510,815,ok
511,986,ok
512,1003,ok
513,866,ok
514,260,ok
515,340,ok
516,15,ok
517,647,ok
518,329,mzda_off
519,964,mzda_off
520,225,ok
521,182,ok
522,1009,mzda_off;arithmetic
523,530,ok
524,22,ok
525,361,ok
526,685,ok
527,883,ok
528,345,ok
529,439,ok
530,822,ok
531,855,ok
532,206,ok
533,759,ok
534,94,ok
535,778,ok
536,68,ok
537,640,ok
538,287,ok
539,826,ok
540,442,ok
541,154,mzda_off
542,75,arithmetic
543,861,ok
544,454,ok
545,191,ok
546,274,ok
547,239,ok
548,495,ok
549,118,mzda_off
550,840,ok
551,521,ok
552,567,mzda_off
553,608,ok
554,127,ok
555,117,ok
556,481,ok
557,773,arithmetic
558,57,oddeleni_en
559,823,ok
560,934,ok
561,374,mzda_off
562,271,mzda_off
563,46,ok
564,354,ok
565,198,ok
566,6014,ok
567,856,ok
568,800,mzda_off
569,266,ok
570,451,ok
571,694,ok
572,308,ok
573,346,ok
574,615,ok
575,992,ok
576,150,ok
577,125,ok
578,896,ok
579,971,ok
580,50,ok
581,358,mzda_off
582,951,ok
583,143,ok
584,478,ok
585,405,ok
586,802,ok
587,325,ok
588,19,ok
589,967,ok
590,811,ok
591,830,ok
592,414,ok
593,546,ok
594,691,mzda_off
595,38,ok
596,178,ok
597,248,ok
598,850,ok
599,885,ok
600,775,ok
601,880,ok
602,155,ok
603,290,ok
604,742,ok
605,579,arithmetic
606,764,ok
607,17,mzda_off
608,128,ok
609,327,mzda_off
610,258,ok
611,675,mzda_off
612,990,ok
613,193,ok
614,116,ok
615,981,ok
616,616,ok
617,183,ok
618,305,ok
619,780,ok
620,732,ok
621,743,ok
622,704,mzda_off
623,679,ok
624,526,ok
625,1010,ok
626,45,ok
627,931,ok
628,158,ok
629,765,ok
630,174,ok
631,16,ok
632,519,ok
633,48,ok
634,997,ok
635,862,ok
636,524,ok
637,705,ok
638,488,ok
639,286,mzda_off
640,918,ok
641,1005,mzda_off
642,228,ok
643,26,ok
644,803,ok
645,445,ok
646,975,ok
647,369,ok
648,232,ok
649,37,ok
650,991,ok
651,380,ok
652,477,ok
653,993,ok
654,872,ok
655,723,ok
656,839,ok
657,197,ok
658,876,ok
659,886,ok
660,511,ok
661,995,ok
662,874,mzda_off
663,589,ok
664,994,ok
665,163,mzda_off
666,752,ok
667,153,ok
668,700,ok
669,719,ok
670,906,ok
671,112,ok
672,229,ok
673,707,ok
674,104,ok
675,429,ok
676,427,ok
677,771,ok
678,596,ok
679,801,ok
680,684,ok
681,120,ok
682,53,ok
683,152,ok
684,410,ok
685,969,ok
686,210,ok
687,669,ok
688,865,mzda_off
689,783,ok
690,8,ok
691,829,ok
692,36,ok
693,460,ok
694,662,ok
695,256,ok
696,307,ok
697,767,ok
698,581,mzda_off
699,634,ok
700,729,ok
701,867,ok
702,265,ok
703,621,ok
704,301,ok
705,422,ok
706,151,ok
707,809,ok
708,651,ok
709,911,ok
710,559,ok
711,812,ok
712,496,ok
713,722,arithmetic
714,148,ok
715,147,ok
716,740,ok
717,955,ok
718,989,ok
719,670,ok
720,353,ok
721,471,ok
722,330,ok
723,189,ok
724,124,ok
725,923,ok
726,619,ok
727,144,ok
728,984,ok
729,200,mzda_off
730,620,ok
731,282,ok
732,296,ok
733,406,ok
734,123,ok
735,186,ok
736,205,ok
737,446,ok
738,249,ok
739,423,ok
740,797,ok
741,786,ok
742,928,ok
743,956,ok
744,909,ok
745,130,ok
746,648,mzda_off
747,409,ok
748,805,ok
749,791,ok
750,747,mzda_off
751,935,ok
752,222,ok
753,652,ok
754,937,ok
755,773,mzda_off
756,922,ok
757,943,ok
758,635,ok
759,860,ok
760,857,ok
761,392,ok
762,998,ok
763,517,ok
764,270,ok
765,841,ok
766,449,ok
767,504,ok
768,113,ok
769,703,mzda_off
770,235,ok
771,953,ok
772,617,ok
773,683,mzda_off
774,379,mzda_off
775,1007,ok
776,864,ok
777,236,ok
778,806,ok
779,688,ok
780,322,ok
781,659,ok
782,417,ok
783,920,ok
784,721,ok
785,363,ok
786,261,arithmetic
787,756,ok
788,638,ok
789,643,ok
790,285,ok
791,382,ok
792,390,ok
793,227,ok
794,979,mzda_off
795,836,ok
796,480,ok
797,352,ok
798,513,ok
799,650,ok
800,1013,mzda_off
801,810,ok
802,952,ok
803,927,ok
804,630,ok
805,877,ok
806,899,ok
807,656,ok
808,868,ok
809,565,mzda_off;arithmetic
810,983,ok
811,587,mzda_off
812,808,ok
813,86,ok
814,245,ok
815,710,ok
816,160,ok
817,533,ok
818,35,ok
819,549,ok
820,172,ok
821,665,ok
822,912,ok
823,879,ok
824,897,ok
825,968,ok
826,745,ok
827,96,mzda_off
828,572,ok
829,243,ok
830,754,eur
831,584,ok
832,702,ok
833,468,ok
834,562,ok
835,900,ok
836,209,ok
837,398,ok
838,807,ok
839,403,ok
840,779,ok
841,870,ok
842,220,ok
843,4,eur
844,781,mzda_off
845,653,ok
846,919,mzda_off
847,623,ok
848,750,ok
849,555,ok
850,737,ok
851,695,ok
852,99,ok
853,817,ok
854,739,ok
855,583,ok
856,413,ok
857,510,ok
858,47,ok
859,32,ok
860,792,ok
861,852,ok
862,203,ok
863,135,ok
864,27,ok
865,902,ok
866,233,ok
867,497,arithmetic
868,785,ok
869,384,ok
870,291,mzda_off
871,426,ok
872,686,ok
873,397,ok
874,602,mzda_off
875,506,ok
876,139,ok
877,62,ok
878,479,ok
879,658,ok
880,129,ok
881,1002,ok
882,529,ok
883,851,ok
884,988,ok
885,64,ok
886,825,ok
887,14,ok
888,157,ok
889,40,ok
890,500,arithmetic
891,385,ok
892,190,ok
893,776,mzda_off
894,219,ok
895,804,ok
896,52,mzda_off;arithmetic
897,891,ok
898,342,ok
899,761,mzda_off
900,731,ok
901,736,ok
902,298,ok
903,713,ok
904,254,ok
905,738,ok
906,469,ok
907,463,ok
908,559,mzda_off
909,828,ok
910,875,ok
911,272,ok
912,204,ok
913,162,ok
914,564,oddeleni_wrong
915,741,ok
916,408,ok
917,714,ok
918,484,ok
919,834,ok
920,784,ok
921,106,ok
922,575,ok
923,395,ok
924,1,ok
925,961,ok
926,1008,ok
927,570,ok
928,81,ok
929,208,ok
930,34,ok
931,788,ok
932,516,ok
933,435,ok
934,462,ok
935,371,ok
936,92,ok
937,344,ok
938,910,ok
939,573,ok
940,350,ok
941,789,mzda_off
942,244,ok
943,13,ok
944,319,ok
945,610,arithmetic
946,393,ok
947,276,ok
948,168,ok
949,853,ok
950,264,ok
951,657,ok
952,831,ok
953,492,ok
954,1006,ok
955,512,ok
956,844,ok
957,246,ok
958,576,ok
959,888,ok
960,571,ok
961,978,ok
962,698,ok
963,972,mzda_off
964,192,ok
965,795,mzda_off
966,711,eur
967,483,mzda_off
968,693,ok
969,518,ok
970,58,ok
971,482,ok
972,569,ok
973,869,ok
974,760,ok
975,255,mzda_off
976,21,ok
977,317,ok
978,467,ok
979,161,ok
980,279,ok
981,970,ok
982,194,ok
983,391,ok
984,818,ok
985,421,ok
986,499,ok
987,348,mzda_off
988,782,ok
989,312,ok
990,672,ok
991,131,ok
992,674,ok
993,884,ok
994,100,ok
995,378,ok
996,88,ok
997,466,ok
998,335,ok
999,217,ok
1000,474,ok
1001,122,ok
1002,625,ok
1003,20,ok
1004,712,ok
1005,71,ok
1006,107,ok
1007,273,ok
1008,873,ok
1009,443,mzda_off
1010,103,ok
