employee_id,datum_zmeny,plat_pred,plat_po,duvod
53,2022-09-14,26512.0,31049.0,raise
978,2025-12-08,18441.0,24491.0,raise
92,2023-10-27,58026.0,65187.0,raise
404,2025-12-23,71682.0,75467.0,raise
1006,2024-12-31,26075.0,33606.0,correction
466,2025-07-02,44084.0,51170.0,raise
957,2024-06-28,30922.0,37360.0,raise
45,2019-02-12,20763.0,27776.0,raise
953,2025-04-13,54297.0,61154.0,raise
660,2021-04-20,50902.0,55306.0,promotion
11,2021-10-19,54895.0,57264.0,raise
166,2023-05-26,84429.0,87505.0,correction
259,2025-05-20,18313.0,24613.0,correction
32,2022-01-24,61156.0,68665.0,raise
861,2025-11-03,13686.0,18607.0,promotion
894,2025-04-18,38949.0,43828.0,raise
1001,2023-05-20,32268.0,39574.0,promotion
256,2024-07-21,60052.0,66144.0,raise
115,2023-08-23,45098.0,47928.0,raise
783,2025-12-21,39411.0,47198.0,raise
587,2025-03-13,38828.0,43338.0,promotion
245,2026-01-04,42540.0,48188.0,correction
90,2025-08-11,83880.0,87233.0,promotion
29,2020-03-03,34502.0,40566.0,correction
85,2022-05-10,88840.0,91454.0,raise
456,2025-04-20,51725.0,59688.0,raise
552,2023-08-30,42062.0,46272.0,raise
799,2025-02-20,14271.0,19188.0,correction
727,2025-10-13,49817.0,57772.0,raise
763,2019-11-08,73824.0,76455.0,promotion
729,2024-08-26,58935.0,63060.0,acquisition_harmonization
311,2021-11-19,55272.0,61258.0,raise
621,2025-01-07,39631.0,44640.0,raise
587,2024-10-19,31797.0,38828.0,raise
216,2025-10-28,33372.0,37986.0,raise
982,2024-07-27,11291.0,15872.0,raise
458,2023-06-19,54977.0,61691.0,promotion
526,2026-03-16,46109.0,51481.0,raise
832,2024-07-30,16386.0,22895.0,raise
516,2022-12-26,36966.0,38969.0,raise
812,2025-07-05,23344.0,29124.0,raise
78,2021-11-13,41283.0,47604.0,raise
827,2025-06-11,28400.0,33400.0,promotion
451,2023-07-24,50057.0,56434.0,raise
749,2025-10-25,67181.0,72354.0,raise
924,2024-02-15,15030.0,22849.0,promotion
547,2021-11-25,43782.0,49119.0,raise
652,2020-01-31,53063.0,55992.0,correction
837,2024-04-25,39428.0,45646.0,raise
389,2022-10-17,55043.0,62663.0,raise
677,2024-08-24,58803.0,64505.0,raise
835,2024-10-19,28910.0,34078.0,raise
5,2024-05-24,73001.0,76369.0,raise
361,2021-03-22,34168.0,39200.0,promotion
703,2023-07-13,53476.0,58162.0,correction
207,2025-06-17,22517.0,24909.0,raise
704,2026-03-08,68920.0,73234.0,raise
706,2025-11-04,64161.0,71600.0,raise
513,2025-12-05,79134.0,84918.0,correction
5,2023-04-21,57293.0,63713.0,raise
493,2024-02-12,35026.0,38442.0,raise
818,2022-10-16,31900.0,36460.0,raise
115,2022-02-23,34690.0,37805.0,raise
787,2025-07-07,30998.0,36508.0,promotion
636,2022-05-29,64000.0,69650.0,raise
759,2021-08-26,51220.0,53999.0,correction
488,2025-03-18,55206.0,59565.0,raise
818,2023-07-25,36460.0,41475.0,raise
225,2026-03-02,53992.0,61004.0,raise
843,2024-05-10,19400.0,26685.0,raise
449,2022-08-14,53749.0,57016.0,raise
151,2023-03-10,71662.0,79240.0,raise
617,2023-02-11,43812.0,47136.0,raise
