ticket_id,reporter_id,datum,kategorie,priorita,status,popis
1,997,2025-02-26 12:58:00,HW,P2,closed,Nefunguje mi notebook. Můžete se na to podívat?
2,898,2024-06-03 13:52:00,Software,P4,pending,Mohli byste mi prosím přidat licenci na Slack?
3,35,2025-01-18 09:04:00,Účet a přístup,P3,closed,Můj VPN profil nefunguje od pondělí.
4,932,2024-04-06 10:28:00,Účet a přístup,P2,closed,Můj VPN profil nefunguje od pondělí.
5,83,2024-01-06 16:07:00,Software,P2,open,Mohli byste mi prosím přidat licenci na Slack?
6,751,2024-02-02 17:32:00,HW,P3,open,notebook přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
7,199,2024-12-11 11:50:00,HW,P2,closed,Prosím o výměnu klávesnice — je už za zenitem.
8,876,2025-02-17 11:17:00,Ostatní,P4,pending,Nefunguje kávovar v 3. patře.
9,262,2024-05-15 16:41:00,Účet a přístup,P4,pending,Zapomněl/a jsem heslo do Confluence.
10,207,2024-09-16 10:26:00,Software,P4,closed,Nejde mi nainstalovat Jira. Vyhazuje to chybu.
11,885,2025-01-01 16:37:00,HW,P4,open,Prosím o výměnu notebook — je už za zenitem.
12,785,2024-03-02 12:13:00,Software,P4,closed,Mohli byste mi prosím přidat licenci na Figma?
13,72,2024-07-04 17:58:00,Software,P3,closed,Po updatu Slack se mi rozbilo notifikace.
14,116,2025-03-24 13:13:00,Software,P3,open,Mohli byste mi prosím přidat licenci na Slack?
15,572,2024-08-16 12:11:00,HW,P3,closed,klávesnice přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
16,875,2024-08-10 14:04:00,Software,P2,open,Nejde mi nainstalovat Jira. Vyhazuje to chybu.
17,896,2024-12-11 08:58:00,HW,P3,pending,Nefunguje mi dock. Můžete se na to podívat?
18,443,2025-05-07 13:42:00,Software,P3,closed,Nejde mi nainstalovat Jira. Vyhazuje to chybu.
19,422,2025-03-04 09:18:00,Účet a přístup,P3,closed,Zapomněl/a jsem heslo do interní portál.
20,1006,2025-04-03 15:45:00,Ostatní,P3,open,Klimatizace v open-spacu zase netáhne.
21,818,2024-11-24 12:08:00,Software,P3,closed,Mohli byste mi prosím přidat licenci na Jira?
22,153,2025-04-15 16:53:00,Software,P3,closed,Po updatu Figma se mi rozbilo sdílení obrazovky.
